Brand,Model,SubFolder,Url,Filename
SMA,EV Charger Business,Chargers\AC Chargers\SMA,https://files.sma.de/downloads/EVC-Business-DS-de_34.pdf,SMA_EVCharger_Business_datasheet_DE.pdf
Sigenergy,Sigen EV AC Charger,Chargers\AC Chargers\Sigenergy,https://www.sigenergy.com/uploads/en_download/1693469297981431.pdf,Sigenergy_SigenEVACCharger_datasheet.pdf
Sigenergy,SigenStor EV DC 12-25 module,Chargers\DC Chargers\Sigenergy,https://www.sigenergy.com/uploads/en_download/1745981434747419.pdf,Sigenergy_SigenStor_EVDC_12-25_datasheet.pdf
Ecotap,Single Wallcharger,Chargers\AC Chargers\Ecotap,https://ecotap.nl/wp-content/uploads/2025/05/Single-Wallcharger-specs-EN.pdf,Ecotap_Single-Wallcharger_specs_EN.pdf
Ecotap,Duo Wallcharger Nuvia,Chargers\AC Chargers\Ecotap,https://ecotap.nl/wp-content/uploads/2026/05/Duo-Wallcharger-Nuvia-specs-EN.pdf,Ecotap_Duo-Wallcharger-Nuvia_specs_EN.pdf
Ecotap,Duo Nuvia,Chargers\AC Chargers\Ecotap,https://ecotap.nl/wp-content/uploads/2026/01/Duo-Nuvia-specs-EN.pdf,Ecotap_Duo-Nuvia_specs_EN.pdf
Ecotap,Duo Wide Nuvia,Chargers\AC Chargers\Ecotap,https://ecotap.nl/wp-content/uploads/2025/12/Duo-Wide-Nuvia-specs-EN.pdf,Ecotap_Duo-Wide-Nuvia_specs_EN.pdf
Ecotap,Duo Wide AC44,Chargers\AC Chargers\Ecotap,https://ecotap.nl/wp-content/uploads/2025/06/Duo-Wide-2X44kW-specs-EN.pdf,Ecotap_Duo-Wide-AC44_specs_EN.pdf
Ecotap,Duo Wide XL Nuvia,Chargers\AC Chargers\Ecotap,https://ecotap.nl/wp-content/uploads/2026/05/Duo-Wide-XL-Nuvia-specs-EN.pdf,Ecotap_Duo-Wide-XL-Nuvia_specs_EN.pdf
Ecotap,Duo Wide Plus Nuvia,Chargers\AC Chargers\Ecotap,https://ecotap.nl/wp-content/uploads/2026/05/Duo-Wide-Plus-Nuvia-specs-EN.pdf,Ecotap_Duo-Wide-Plus-Nuvia_specs_EN.pdf
Ecotap,DC30 Nuvia,Chargers\DC Chargers\Ecotap,https://ecotap.nl/wp-content/uploads/2026/03/DC30-Nuvia-specs-EN.pdf,Ecotap_DC30-Nuvia_specs_EN.pdf
Ecotap,DC60,Chargers\DC Chargers\Ecotap,https://ecotap.nl/wp-content/uploads/2025/05/DC60-specs-EN.pdf,Ecotap_DC60_specs_EN.pdf
Ecotap,DC120,Chargers\DC Chargers\Ecotap,https://ecotap.nl/wp-content/uploads/2025/05/DC120-specs-EN.pdf,Ecotap_DC120_specs_EN.pdf
